background, draw, blitScreen, flip
0.0335459716603, 0.00064982327476, 0.00224255757301, 0.00196281532597, 
0.0624856920823, 0.00131299205121, 0.00333637542333, 0.00214246631031, 
0.0175185374151, 0.00062210569432, 0.00139871123517, 0.00191507949299, 
0.0187873866531, 0.000662655487927, 0.00179856299744, 0.00156193698665, 
0.0196435519155, 0.000749401248934, 0.00192380539795, 0.00146081914689, 
0.0203021010953, 0.000602600730307, 0.0012934870872, 0.00138998533021, 
0.0180898275453, 0.000661628910874, 0.00266242758782, 0.00574831821014, 
0.024657354244, 0.000606193749994, 0.00156553000633, 0.00262239108274, 
0.0187997055777, 0.000929565521794, 0.00150496196019, 0.00175698662678, 
0.022953749624, 0.00055743133996, 0.00131247876269, 0.00202235679507, 
0.0175205905692, 0.00159786718351, 0.00198591330967, 0.00168204650189, 
0.018026179768, 0.000661628910874, 0.00151625430777, 0.00186888352559, 
0.0190435176279, 0.000729382996394, 0.00159478745235, 0.00202081692949, 
0.0193042681994, 0.000743241786614, 0.00130939903153, 0.00216813073664, 
0.0184250049532, 0.000698072396267, 0.00128373460519, 0.00153267954063, 
0.0179974356105, 0.000596441267987, 0.00131453191679, 0.00137869298263, 
0.018169387267, 0.000641097369807, 0.0012857877593, 0.00166151496082, 
0.0188294763122, 0.00117081112933, 0.00159581402941, 0.00153319282915, 
0.0182427875263, 0.000670868104354, 0.00195716915218, 0.00196846149977, 
0.0185184234651, 0.00073451588166, 0.00129861997247, 0.00255207055459, 
0.0161634557047, 0.000553325031747, 0.0010933045618, 0.00132017809059, 
0.0116521628439, 0.00045734007726, 0.000966522295714, 0.00175236703004, 
0.0121043700359, 0.000469145713374, 0.00096395585308, 0.00152600678978, 
0.0132946861292, 0.000524067585727, 0.001000912627, 0.00133557674639, 
0.0120237837372, 0.000471712156007, 0.00109125140769, 0.00124164494601, 
0.0123184113515, 0.000485570946227, 0.00180831547945, 0.00147005834037, 
0.013204860637, 0.00051277523814, 0.00098243424004, 0.00154140544558, 
0.0126607747988, 0.000591821671247, 0.00101528470575, 0.00210396967081, 
0.0122958266563, 0.00051893470046, 0.00098705383678, 0.00126833594939, 
0.0123240575253, 0.000474791887167, 0.0009778146433, 0.00272504878807, 
0.0127121036514, 0.00058360905482, 0.00097627477772, 0.00216402442843, 
0.0125658164213, 0.00057590972692, 0.00105942751904, 0.00198334686704, 
0.0120756258784, 0.000775578963794, 0.00129040735604, 0.00127090239203, 
0.0125088413949, 0.000541006107107, 0.000989620279414, 0.00139152519579, 
0.0162301832132, 0.000611839923787, 0.000998859472894, 0.00224615059269, 
0.0121608317738, 0.00130580601184, 0.000981407662987, 0.00301762324827, 
0.0122290991478, 0.000918786462734, 0.000975761489194, 0.00126371635265, 
0.0124031039584, 0.000747861383354, 0.00101733785985, 0.00136483419241, 
0.0125519576311, 0.000564617379334, 0.000971141892454, 0.00140230425485, 
0.0129708010689, 0.000511748661087, 0.000977301354774, 0.00123651206074, 
0.0121418400983, 0.00111845569961, 0.00101425812869, 0.00168153321336, 
0.0123630674533, 0.0006698415273, 0.000990133567941, 0.00172567602665, 
0.0124739377751, 0.000536386510367, 0.00100501893521, 0.00120417488356, 
0.0119601359599, 0.000804323121287, 0.00101323155164, 0.00163020436069, 
0.0117779185329, 0.00115695233911, 0.00103324980418, 0.00145260653047, 
0.0124077235551, 0.00054819214648, 0.000981920951514, 0.0016553554985, 
0.0129009938292, 0.00070679830122, 0.00096549571866, 0.00135456842187, 
0.012337403027, 0.000561537648174, 0.00098243424004, 0.00135816144156, 
0.0257717036354, 0.000582582477767, 0.00102503718775, 0.00231390467821, 
0.012232178879, 0.000804836409814, 0.00127552198877, 0.00155423765875, 
0.0128445320913, 0.00053587322184, 0.0010086119549, 0.00255309713164, 
0.0128024424321, 0.000536386510367, 0.00106353382725, 0.00138331257937, 
0.0123096854465, 0.000558457917014, 0.000990646856467, 0.00128168145109, 
0.0122722153841, 0.000541519395634, 0.00098859370236, 0.00160556651141, 
0.0127069707662, 0.000529200470993, 0.00238371191784, 0.00115387260795, 
0.0121618583508, 0.000610300058207, 0.000957796390761, 0.00135559499893, 
0.0129944123411, 0.00054819214648, 0.0009778146433, 0.00157425591129, 
0.0124487866373, 0.000821774931194, 0.00118774965071, 0.00121136092293, 
0.0130503607905, 0.000516368257827, 0.00106764013547, 0.00272299563397, 
0.0129461632196, 0.000494810139707, 0.00100912524343, 0.00136740063504, 
0.0118379732905, 0.00048967725444, 0.000942911023487, 0.00149418290113, 
0.0121967619707, 0.000493270274127, 0.00108406536832, 0.00163174422627, 
0.0122403914954, 0.00057898945808, 0.000961389410447, 0.00123907850337, 
0.0124041305354, 0.000471712156007, 0.0014012776778, 0.00154551175379, 
0.0124795839489, 0.000473252021587, 0.000984487394147, 0.00152703336683, 
0.011596727683, 0.000868484187121, 0.000955229948127, 0.00137971955968, 
0.0118918685858, 0.000499943024974, 0.00099629303026, 0.00126422964118, 
0.0119637289796, 0.000498403159394, 0.0010394092665, 0.00263419671885, 
0.0119390911303, 0.00054049281858, 0.000935724984114, 0.00135148869071, 
0.0121413268098, 0.000496350005287, 0.00124626454275, 0.00124113165748, 
0.0120838384948, 0.000915193443047, 0.00133301030375, 0.00161737214753, 
0.0121151490949, 0.00064058408128, 0.00238576507195, 0.00129143393309, 
0.0127162099596, 0.00060516717294, 0.00096857544982, 0.00158708812445, 
0.0121680178132, 0.000559484494067, 0.00114206697183, 0.0031182277995, 
0.0122152403576, 0.000606193749994, 0.00103530295829, 0.00226154924849, 
